,country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,generation_data_source,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017,estimated_generation_note_2013,estimated_generation_note_2014,estimated_generation_note_2015,estimated_generation_note_2016,estimated_generation_note_2017
15,DZA,Algeria,Chelghoum El Aïd,WKS0065282,15.0,36.225,6.11,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,,28.56,28.61,28.69,28.34,NO-ESTIMATION,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
16,DZA,Algeria,El Kheneg,WKS0068917,60.0,33.727,2.811,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,,96.03,95.17,93.44,95.16,NO-ESTIMATION,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
17,DZA,Algeria,F'Krina,WRI1023785,292.0,35.7666,7.3619,Gas,Oil,,,,Sonelgaz Production de lâ€™Electricite,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,GEODB,1057692,,,,,,,,,,,,,,1219.25,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
18,DZA,Algeria,HPC Ouargla,WKS0068918,30.0,32.602,5.834,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,,49.38,47.99,50.88,48.72,NO-ESTIMATION,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
19,DZA,Algeria,Hadjret Ennous,WRI1023768,1200.0,36.5767,2.0797,Gas,Oil,,,2009.0,Sharikat Kahraba Hadjret En-Nouss,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,GEODB,1044377,,,,,,,,,,,,,,5010.64,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
20,DZA,Algeria,Hamma 2,WRI1023783,418.0,36.7489,3.0823,Gas,Oil,,,,Sonelgaz Production de lâ€™Electricite,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,GEODB,1029491,,,,,,,,,,,,,,1745.37,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
21,DZA,Algeria,Hassi Messaoud Mobile,WRI1023796,72.0,31.6703,6.0531,Gas,,,,2013.0,Sonelgaz Production de l'Electricite,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,KTH,,,,,,,,,,,,,,,300.63,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
22,DZA,Algeria,Hassi Messoud,WRI1023779,600.0,31.6703,6.0531,Gas,,,,2015.0,Sonelgaz Production de l'Electricite,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,KTH,,,,,,,,,,,,,,,2505.32,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
23,DZA,Algeria,Hassi Messoud Nord 2,WRI1023790,200.0,31.7877,6.0517,Gas,,,,1988.0,Sonelgaz Production de l'Electricite,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,GEODB,,,,,,,,,,,,,,,835.1,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
24,DZA,Algeria,Hassi Messoud Ouest,WRI1023799,492.0,31.8065,5.9924,Gas,,,,,Sonelgaz Production de l'Electricite,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,KTH,1047638,,,,,,,,,,,,,,2054.36,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
25,DZA,Algeria,Hassi R'mel ISCC,WKS0071083,20.0,33.123,3.356,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,,35.77,34.3,35.45,34.69,NO-ESTIMATION,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
26,DZA,Algeria,Hauts Plateaux Centre,WKS0068911,106.6,34.342,3.169,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,,163.86,166.11,173.56,173.33,NO-ESTIMATION,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
27,DZA,Algeria,Hauts Plateaux Est,WKS0065280,73.8,35.68,5.9861,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,,129.42,130.32,131.08,130.11,NO-ESTIMATION,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
28,DZA,Algeria,Ighil Emda,WRI1023798,24.0,36.4739,5.2719,Hydro,,,,1952.0,SAFEAGE,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,GEODB,1029497,,,,,,,,,,30.81,33.08,27.86,32.34,30.82,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
29,DZA,Algeria,In Salah,WKS0068914,5.0,27.183,2.504,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,,9.34,8.63,8.8,8.75,NO-ESTIMATION,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
30,DZA,Algeria,Jijel,WRI1023775,588.0,36.8139,5.876,Gas,Oil,,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,GEODB,1029500,,,,,,,,,,,,,,2455.21,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
31,DZA,Algeria,Kahrama IPP,WRI1023784,345.0,35.8064,-0.2476,Gas,,,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,GEODB,1051834,,,,,,,,,,,,,,1440.56,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
32,DZA,Algeria,Koudiet Eddraouch,WRI1023769,1200.0,36.885,8.0778,Gas,,,,2013.0,Shariket Karhaba Koudiet Eddraouch SpA (SKD),Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,GEODB,1046207,,,,,,,,,,,,,,5010.64,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
33,DZA,Algeria,Labiodh Sidi Cheikh,WKS0068921,20.0,32.945,0.555,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,,33.91,33.62,34.41,33.84,NO-ESTIMATION,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
34,DZA,Algeria,Labreg,WRI1023815,396.0,34.5056,6.9848,Gas,,,,2015.0,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,KTH,1099562,,,,,,,,,,,,,,1653.51,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
35,DZA,Algeria,Marsat,WRI1023772,840.0,35.8,-0.1924,Gas,Oil,,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,GEODB,1029503,,,,,,,,,,,,,,3507.45,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
36,DZA,Algeria,Marsat TG,WRI1023789,184.0,35.8,-0.1924,Gas,Oil,,,,Sonelgaz Production de lâ€™Electricite,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,GEODB,,,,,,,,,,,,,,,768.29,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
37,DZA,Algeria,Msila 1,WRI1023773,980.0,35.7071,4.4804,Gas,,,,,Sonelgaz Production de lâ€™Electricite,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,KTH,1029501,,,,,,,,,,,,,,4092.02,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
38,DZA,Algeria,Naâma,WKS0068920,19.9,33.274,-0.372,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,,33.71,33.18,34.48,33.31,NO-ESTIMATION,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
39,DZA,Algeria,Oued El Kebrit,WKS0065281,15.0,35.919,7.87,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,,27.9,28.76,28.54,28.38,NO-ESTIMATION,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
